French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
eux,them
chaque,each
parlé,speak
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
voici,here is
pourrais,could
affaire,case
donner,give
type,type
train,train
corps,body
endroit,place
yeux,eyes
dont,whose
trouve,find
premier,first
perdu,lost
première,first
côté,side
pouvoir,power
vieux,old
tiens,here
tellement,so much
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
eau,water
attendez,Wait
parti,left
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
croire,believe
gros,large
aura,will have
filles,girls
jouer,to play
bureau,office
